"Title","ABV","Description","Price","BeerOrder","OnTap","Image","BeerID","OnTap (BeerID)","seasonal","yearround","untappd","poster","posterImage","dist","can","canPrice","distributionAvailable","InTheTank","ReleaseDate","dateidrelease","coaster","featured","rotating","moreInfo","crowlerPrice","growlerPrice","distOrder","LimitedRelease","cansToGo","Fullabv","Cantogoprice","Crowlertogoprice","Growlertogoprice","canImage","comingSoonCans","beerTier","Glassprice","Primary"
"SUMMER GODS","6.7","New England style IPA featuring Galaxy hops","7",,false,"wix:image://v1/933710_a602538549974a7a912e811ca6ae5c8e~mv2.png/MHSG.png#originWidth=415&originHeight=472","MHSG","/ontap/MHSG",true,,"https://untappd.com/b/mudhen-brewing-company-summer-gods/3882686",,,,,,,false,"Thursday, July 23","20200723","wix:image://v1/933710_214722f5cdcb40a9b08ec5f369ab33a8~mv2.jpg/MHSG.jpg#originWidth=275&originHeight=275",,,,12,17,,,,"ABV 6.7%","undefined $undefined","Crowler: $12","Growler: $17",,,,"Per glass: $7",
"DARLIN' NEIPA","7.1","New England style IPA heavily hopped with Amarillo, Citra, Ekuanot and Mosaic.","7",,false,"wix:image://v1/933710_74a0ba83e05b4b72b7646dca84786888~mv2.png/MHDNEIPA.png#originWidth=415&originHeight=472","MHDNEIPA","/ontap/MHDNEIPA",,,"https://untappd.com/b/mudhen-brewing-company-darlin/3842868",,"wix:image://v1/933710_f5d55d3c9fac447db7d3d065dc9b2bbb~mv2.jpg/MHDNEIPA-CS.jpg#originWidth=600&originHeight=927",,,,,false,"Thursday, June 25","20200625","wix:image://v1/933710_b70a63e0679242ebb2bd59f8c28b30aa~mv2.jpg/MHDNEIPA.jpg#originWidth=275&originHeight=275",,true,,12,17,,,,"ABV 7.1%","undefined $undefined","Crowler: $12","Growler: $17",,,"Tier3","Per glass: $7",
"DÜNESLAGER","5.0","lager beer with toasty notes from a balance of munich & vienna malts","5.5",,false,"wix:image://v1/933710_18bdd5a5a87546bcb65d6c73662a18a2~mv2.png/MHDS.png#originWidth=415&originHeight=472","MHDS","/ontap/MHDS",,true,"https://untappd.com/b/mudhen-brewing-company-duneslager/2644530",,"wix:image://v1/933710_0a2cbf397b824777a2763793b9a90ef8~mv2.jpg/MHDS_CS.jpg#originWidth=600&originHeight=927",,,,,false,"Thursday, June 18",,"wix:image://v1/933710_652a25f09b1b4fe4b1e99276d76e855a~mv2.jpg/DUNES.jpg#originWidth=275&originHeight=275",,,,8,12,,,,"ABV 5.0%","undefined $undefined","Crowler: $8","Growler: $12",,,"Tier1","Per glass: $5.5",
"1883 IPA","6.5","Our flagship IPA has floral, citrus and pine components complimented by a notably dry finish","6",1,true,"wix:image://v1/933710_a65f856f16f841d58e5c588ec5fd8f95~mv2.png/MH1883.png#originWidth=415&originHeight=472","MH1883","/ontap/MH1883",,true,"https://untappd.com/b/mud-hen-brewing-company-1883-ipa/2601630",,"wix:image://v1/933710_4efecf7a324f4fd88e7e0eb59846f6e8~mv2.jpg/MH1883_CS.jpg#originWidth=600&originHeight=927",true,"(16 oz) 4-pack",15,"1/6 kegs - 1/2 kegs",false,,"20200528","wix:image://v1/933710_a30d0f21409d48b3bf9762bd10ab8596~mv2.jpg/1883IPA.jpg#originWidth=275&originHeight=275",true,,,9,14,1,,false,"ABV 6.5%","(16 oz) 4-pack $15","Crowler: $9","Growler: $14","wix:image://v1/933710_90e2c1e30753431185e7bae8dde26c87~mv2.jpg/MH1883-C.jpg#originWidth=300&originHeight=300",,"Tier2","Per glass: $6",
"RAMBLER TO MIAMI","7.0","New England style IPA single hopped with Nelson Sauvin","7",7,true,"wix:image://v1/933710_dca14382e67846dbb4a77a73acde454b~mv2.png/MHR2M.png#originWidth=415&originHeight=472","MHR2M","/ontap/MHR2M",,,,,"wix:image://v1/933710_b27c339d1e624cc1adc0a3f49b245537~mv2.jpg/MHR2A_CS.jpg#originWidth=600&originHeight=927",,,,,false,"Friday, August 21","20200821","wix:image://v1/933710_751f3f8abfd34571aef5c41705774ce6~mv2.jpg/MHR2M_coaster.jpg#originWidth=275&originHeight=275",,true,,12,17,,,,"ABV 7.0%","undefined $undefined","Crowler: $12","Growler: $17",,,,"Per glass: $7",
"HENPECKED HEFE","5.4","german hefeweizen with flavors of clove & banana taffy","5.5",12,true,"wix:image://v1/933710_f6397771c0104f60a2b9934aa437e4ec~mv2.png/MHHPH.png#originWidth=415&originHeight=472","MHHH","/ontap/MHHH",false,,"https://untappd.com/b/mud-hen-brewing-company-henpecked-hefe/2669873","NULL",,,,,,false,,,"wix:image://v1/933710_2cf35bb248eb4693a0041a4af9903743~mv2.jpg/HENHEFE.jpg#originWidth=275&originHeight=275",,true,,8,12,,,,"ABV 5.4%","undefined $undefined","Crowler: $8","Growler: $12",,,"Tier1","Per glass: $5.5",
"FRUITIE PATOOTIE RASPBERRY","5.4","fruited blonde ale series with brewer's choice of organic berry purée.","6",,false,"wix:image://v1/933710_fd4428c4b89f4c75bb247a5e9212dcfa~mv2.png/MHFPRB.png#originWidth=415&originHeight=472","MHFPRB","/ontap/MHFPRB",true,,"https://untappd.com/b/mud-hen-brewing-company-fruitie-patootie/3245814","NULL",,,,,,false,,,"wix:image://v1/933710_286850b9b0494248a64705243308bc66~mv2.jpg/FruitieRasp.jpg#originWidth=275&originHeight=275",,,,9,14,,,,"ABV 5.4%","undefined $undefined","Crowler: $9","Growler: $14",,,"Tier1","Per glass: $6",
"FRUITIE PATOOTIE STRAWBERRY","5.2","fruited blonde ale series with brewer's choice of organic berry purée.","6",,false,"wix:image://v1/933710_0679bdfc78614bb3850a5ce08dcbb181~mv2.png/MHFPS.png#originWidth=415&originHeight=472","MHFPS","/ontap/MHFPS",true,,"https://untappd.com/b/mudhen-brewing-company-fruitie-patootie-strawberry/3324374",,"wix:image://v1/933710_79603a840cbc4041a58a1df6e25b5c59~mv2.jpg/FPS_web.jpg#originWidth=600&originHeight=928",,,,,false,,,"wix:image://v1/933710_b8c458b4d15240118fc0933a8e959abc~mv2.jpg/fruitieStraw.jpg#originWidth=275&originHeight=275",,,,9,14,,,,"ABV 5.2%","undefined $undefined","Crowler: $9","Growler: $14",,,"Tier1","Per glass: $6",
"YELLOW FLASHING LIGHTS","7.5","when the air starts getting crisper, all that's left at the shore are the locals, and the yellow lights start flashing; you know it's time for this rich malty & robust imperial stout to hit mudhen's taps.","7",,false,"wix:image://v1/933710_b48902ae2c934fad8ebdbcd492a936d2~mv2.png/MHYFL.png#originWidth=415&originHeight=472","MHYFL","/ontap/MHYFL",true,,"https://untappd.com/b/mud-hen-brewing-company-yellow-flashing-lights/2956040",,"wix:image://v1/933710_c599131f111341009082e04187a38996~mv2.jpg/YFL_web.jpg#originWidth=600&originHeight=927",,,,,false,,,"wix:image://v1/933710_2ce833a8d81d42cf97f5f99849f00424~mv2.jpg/YFL.jpg#originWidth=275&originHeight=275",,,,12,17,,,,"ABV 7.5%","undefined $undefined","Crowler: $12","Growler: $17",,,"Tier3","Per glass: $7",
"ALL TOGETHER","6.5","Bicoastal IPA with Cascade, Citra, Mosaic and Simcoe hops. This worldwide collaborative beer has been created by Other Half Brewing Company in Brooklyn, NY, and brewed here in Wildwood, NJ, to help support our local Hospitality Professionals. ","7",,false,"wix:image://v1/933710_d0c697ecc4174b9c8791829bcdb3a917~mv2.jpg/allTogether6.jpg#originWidth=321&originHeight=427","MHAT","/ontap/MHAT",,,,,"wix:image://v1/933710_3ad244348e8a4b718466d1927082ac2f~mv2.jpg/MHAT_allTogether.jpg#originWidth=600&originHeight=928",,,,,false,,,"wix:image://v1/933710_9aab3cc1d5df4a46be078fee65efb25b~mv2.jpg/alltogether.jpg#originWidth=275&originHeight=275",,,"https://alltogether.beer",12,17,,,,"ABV 6.5%","undefined $undefined","Crowler: $12","Growler: $17",,,"Tier3","Per glass: $7",
